Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MIR1302-2	MIR1302-2	chr1	+	30366	30503	0.000000	0.000000	0.000000
MIR1302-9	MIR1302-9	chr1	+	30366	30503	0.000000	0.000000	0.000000
MIR1302-10	MIR1302-10	chr1	+	30366	30503	0.028986	0.001778	0.005578
MIR1302-11	MIR1302-11	chr1	+	30366	30503	0.000000	0.000000	0.000000
MSTRG.5	LOC102725121	chr1	+	11869	14409	0.000000	0.000000	0.000000
MSTRG.6	WASH7P	chr1	-	14362	29370	34.256008	5.696251	17.872095
LOC729737	LOC729737	chr1	-	134773	140566	3.235073	0.198439	0.622605
MSTRG.7	-	chr1	-	228146	231623	15.767447	0.967172	3.034520
LOC100132287	LOC100132287	chr1	+	323892	328581	0.000000	0.000000	0.000000
LOC100132062	LOC100132062	chr1	+	323892	328581	8.153179	0.500114	1.569118
OR4F29	OR4F29	chr1	+	367659	368597	0.000000	0.000000	0.000000
OR4F3	OR4F3	chr1	+	367659	368597	0.000000	0.000000	0.000000
OR4F16	OR4F16	chr1	+	367659	368597	0.048988	0.003005	0.009428
MSTRG.4	OR4F16	chr1	-	621096	622034	0.048988	0.003005	0.009428
MSTRG.2	MIR12136	chr1	-	567995	568065	614.647827	37.702370	118.291885
MSTRG.3	-	chr1	.	569011	570304	635.340393	38.971645	122.274277
LOC100133331	LOC100133331	chr1	-	661139	665731	14.899464	0.913930	2.867472
FAM41C	FAM41C	chr1	-	803451	812182	0.000000	0.000000	0.000000
LOC100288069	LOC100288069	chr1	-	700245	714068	3.928044	0.240945	0.755971
MSTRG.8	FAM87B	chr1	+	752751	755214	19.199074	1.177667	3.694953
MSTRG.9	LINC00115	chr1	-	761586	762902	6.260820	0.384037	1.204924
MSTRG.10	LINC01128	chr1	+	762971	794826	30.356201	3.665229	11.499725
HES4	HES4	chr1	-	934344	935477	6.058152	0.378625	1.187943
PLEKHN1	PLEKHN1	chr1	+	901862	911245	6.105451	0.374507	1.175023
PERM1	PERM1	chr1	-	910578	917473	0.658725	0.040406	0.126775
MSTRG.15	KLHL17	chr1	+	895964	901140	47.026089	3.350462	10.512138
MSTRG.11	LINC02593	chr1	-	852198	855072	12.756309	0.782469	2.455012
MSTRG.12	SAMD11	chr1	+	861111	879954	33.481907	2.613088	8.198614
MSTRG.13	NOC2L	chr1	-	879583	894660	574.626282	35.374756	110.988968
MSTRG.14	ISG15	chr1	+	948877	949919	364.383636	22.351213	70.127365
MSTRG.28	AURKAIP1	chr1	-	1309116	1310587	853.431641	59.633690	187.101822
