"transcriptNames","transcriptIDs","geneNames","geneIDs","feature","id","fc","pval","qval"
"NM_000599",45219,"IGFBP5","MSTRG.8718","transcript","45219",0.651983222375217,2.4065048953581e-07,0.00259685943258092
"NM_003186",15804,"TAGLN","MSTRG.2880","transcript","15804",1.25929421963992,5.49235304503348e-06,0.0296339908544782
"NM_002792",47810,"PSMA7","MSTRG.9223","transcript","47810",1.11469478921181,8.33866962424157e-06,0.0299941946383969
"NM_001135998",80232,"NDUFB11","MSTRG.15226","transcript","80232",1.23401121467068,1.83440772933974e-05,0.0478603874588
"NM_003380",8444,"VIM","MSTRG.1616","transcript","8444",1.12651906333686,2.21760668421833e-05,0.0478603874588
"NM_016297",41893,"PCYOX1","MSTRG.8136","transcript","41893",0.806085449783489,4.11966220732474e-05,0.0740921247987354
"NM_003377",14151,"VEGFB","MSTRG.2533","transcript","14151",1.23023432057003,5.86135021708456e-05,0.078021001045218
"NM_018319",23752,"TDP1","MSTRG.4456","transcript","23752",0.409118273860056,7.82229964216841e-05,0.078021001045218
"NR_027451",47008,"NORAD","MSTRG.9056","transcript","47008",0.820377670340136,7.95508732349681e-05,0.078021001045218
"NM_001206",77430,"KLF9","MSTRG.14652","transcript","77430",0.789091972000888,8.38074128928223e-05,0.078021001045218
"NM_000584",56695,"CXCL8","MSTRG.10889","transcript","56695",0.808025790730145,9.12805722568244e-05,0.078021001045218
"MSTRG.9059.11",46994,"RBM39","MSTRG.9059","transcript","46994",0.534907317260995,9.30438640213138e-05,0.078021001045218
"NM_001242848",65163,"RNF146","MSTRG.12518","transcript","65163",0.230282872978258,9.39924950039694e-05,0.078021001045218
"NM_004139",47122,"LBP","MSTRG.9088","transcript","47122",0.666706071742901,0.000127655066132659,0.0964684676859822
"MSTRG.9052.5",46966,"CPNE1","MSTRG.9052","transcript","46966",0.223152523445759,0.000134095729338313,0.0964684676859822
"NM_000852",14598,"GSTP1","MSTRG.2645","transcript","14598",1.16414304914197,0.000168054634448245,0.113342347520688
"NM_001425",38860,"EMP3","MSTRG.7603","transcript","38860",1.10228207804808,0.000227071484460106,0.143990844993643
"NM_005762",40330,"TRIM28","MSTRG.7820","transcript","40330",1.16821570501451,0.000287849252355921,0.143990844993643
"NM_006739",49908,"MCM5","MSTRG.9617","transcript","49908",1.31015585889216,0.000300585918787233,0.143990844993643
"NM_017510",61785,"TMED9","MSTRG.11937","transcript","61785",1.06139481591074,0.000317142312453611,0.143990844993643
